"OID","Country or Area","Year","Description","Magnitude","Value"
"12860B..ZF...","DENMARK","1996","CALL MONEY RATE","PERCENT PER ANNU","3.98167"
"12860P..ZF...","DENMARK","1995","LENDING RATE","PERCENT PER ANNU","10.325"
"12860F..ZF...","DENMARK","1995","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","0.800577"
"12860...ZF...","DENMARK","1995","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","4.25"
"12860L..ZF...","DENMARK","1995","DEPOSIT RATE","PERCENT PER ANNU","3.85"
"12860B..ZF...","DENMARK","1995","CALL MONEY RATE","PERCENT PER ANNU","6.19333"
"12860P..ZF...","DENMARK","1994","LENDING RATE","PERCENT PER ANNU","9.95"
"12860F..ZF...","DENMARK","1994","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","0.197271"
"12860...ZF...","DENMARK","1994","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","5"
"12860L..ZF...","DENMARK","1994","DEPOSIT RATE","PERCENT PER ANNU","3.525"
"12860B..ZF...","DENMARK","1994","CALL MONEY RATE","PERCENT PER ANNU","6.3025"
"12860P..ZF...","DENMARK","1993","LENDING RATE","PERCENT PER ANNU","10.4575"
"12860F..ZF...","DENMARK","1993","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-3.30159"
"12860...ZF...","DENMARK","1993","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.25"
"12860L..ZF...","DENMARK","1993","DEPOSIT RATE","PERCENT PER ANNU","6.5225"
"12860B..ZF...","DENMARK","1993","CALL MONEY RATE","PERCENT PER ANNU","11.4908"
"12860P..ZF...","DENMARK","1992","LENDING RATE","PERCENT PER ANNU","11.775"
"12860F..ZF...","DENMARK","1992","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-11.7976"
"12860...ZF...","DENMARK","1992","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","9.5"
"12860L..ZF...","DENMARK","1992","DEPOSIT RATE","PERCENT PER ANNU","7.5"
"12860B..ZF...","DENMARK","1992","CALL MONEY RATE","PERCENT PER ANNU","11.3475"
"12860P..ZF...","DENMARK","1991","LENDING RATE","PERCENT PER ANNU","11.375"
"12860F..ZF...","DENMARK","1991","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-5.79691"
"12860...ZF...","DENMARK","1991","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","9.5"
"12860L..ZF...","DENMARK","1991","DEPOSIT RATE","PERCENT PER ANNU","7.15"
"12860B..ZF...","DENMARK","1991","CALL MONEY RATE","PERCENT PER ANNU","9.78075"
"12860P..ZF...","DENMARK","1990","LENDING RATE","PERCENT PER ANNU","14.1"
"12860F..ZF...","DENMARK","1990","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-1.69668"
"12860...ZF...","DENMARK","1990","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","8.5"
"12860L..ZF...","DENMARK","1990","DEPOSIT RATE","PERCENT PER ANNU","7.925"
"12860B..ZF...","DENMARK","1990","CALL MONEY RATE","PERCENT PER ANNU","10.9675"
"12860P..ZF...","DENMARK","1989","LENDING RATE","PERCENT PER ANNU","13.4417"
"12860F..ZF...","DENMARK","1989","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-3.69883"
"12860...ZF...","DENMARK","1989","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7"
"12860L..ZF...","DENMARK","1989","DEPOSIT RATE","PERCENT PER ANNU","8.26667"
"12860B..ZF...","DENMARK","1989","CALL MONEY RATE","PERCENT PER ANNU","9.66"
"12860P..ZF...","DENMARK","1988","LENDING RATE","PERCENT PER ANNU","12.5917"
"12860F..ZF...","DENMARK","1988","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","1.29764"
"12860...ZF...","DENMARK","1988","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7"
"12860L..ZF...","DENMARK","1988","DEPOSIT RATE","PERCENT PER ANNU","7.75"
"12860B..ZF...","DENMARK","1988","CALL MONEY RATE","PERCENT PER ANNU","8.52275"
"12860C..ZF...","DENMARK","1988","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","9.19"
"12860P..ZF...","DENMARK","1987","LENDING RATE","PERCENT PER ANNU","13.6167"
"12860F..ZF...","DENMARK","1987","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-2.00115"
"12860...ZF...","DENMARK","1987","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7"
"12860L..ZF...","DENMARK","1987","DEPOSIT RATE","PERCENT PER ANNU","7.0725"
"12860B..ZF...","DENMARK","1987","CALL MONEY RATE","PERCENT PER ANNU","10.1975"
"12860C..ZF...","DENMARK","1987","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","10.9858"
"12860P..ZF...","DENMARK","1986","LENDING RATE","PERCENT PER ANNU","12.975"
"12860F..ZF...","DENMARK","1986","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-2.86006"
"12860...ZF...","DENMARK","1986","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7"
"12860L..ZF...","DENMARK","1986","DEPOSIT RATE","PERCENT PER ANNU","6.57583"
"12860B..ZF...","DENMARK","1986","CALL MONEY RATE","PERCENT PER ANNU","9.219"
"12860C..ZF...","DENMARK","1986","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","9.59"
"12860P..ZF...","DENMARK","1985","LENDING RATE","PERCENT PER ANNU","14.65"
"12860F..ZF...","DENMARK","1985","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-0.379084"
"12860...ZF...","DENMARK","1985","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7"
"12860L..ZF...","DENMARK","1985","DEPOSIT RATE","PERCENT PER ANNU","8.20833"
"12860B..ZF...","DENMARK","1985","CALL MONEY RATE","PERCENT PER ANNU","10.3328"
"12860C..ZF...","DENMARK","1985","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","10.7833"
"12860P..ZF...","DENMARK","1984","LENDING RATE","PERCENT PER ANNU","13.3833"
"12860F..ZF...","DENMARK","1984","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-2.48668"
"12860...ZF...","DENMARK","1984","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7"
"12860L..ZF...","DENMARK","1984","DEPOSIT RATE","PERCENT PER ANNU","9"
"12860B..ZF...","DENMARK","1984","CALL MONEY RATE","PERCENT PER ANNU","11.7723"
"12860C..ZF...","DENMARK","1984","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","13.0308"
"12860P..ZF...","DENMARK","1983","LENDING RATE","PERCENT PER ANNU","14.4917"
"12860F..ZF...","DENMARK","1983","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-0.101266"
"12860...ZF...","DENMARK","1983","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7"
"12860L..ZF...","DENMARK","1983","DEPOSIT RATE","PERCENT PER ANNU","9.98333"
"12860B..ZF...","DENMARK","1983","CALL MONEY RATE","PERCENT PER ANNU","12.8082"
"12860C..ZF...","DENMARK","1983","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","14.7708"
"12860P..ZF...","DENMARK","1982","LENDING RATE","PERCENT PER ANNU","18.55"
"12860F..ZF...","DENMARK","1982","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-6.56011"
"12860...ZF...","DENMARK","1982","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","10"
"12860L..ZF...","DENMARK","1982","DEPOSIT RATE","PERCENT PER ANNU","12.8917"
"12860B..ZF...","DENMARK","1982","CALL MONEY RATE","PERCENT PER ANNU","16.9178"
"12860C..ZF...","DENMARK","1982","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","19.655"
"12860P..ZF...","DENMARK","1981","LENDING RATE","PERCENT PER ANNU","17.65"
"12860F..ZF...","DENMARK","1981","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-0.136519"
"12860...ZF...","DENMARK","1981","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","11"
"12860L..ZF...","DENMARK","1981","DEPOSIT RATE","PERCENT PER ANNU","13.0167"
"12860B..ZF...","DENMARK","1981","CALL MONEY RATE","PERCENT PER ANNU","14.84"
"12860C..ZF...","DENMARK","1981","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","18.87"
"12860P..ZF...","DENMARK","1980","LENDING RATE","PERCENT PER ANNU","17.2"
"12860F..ZF...","DENMARK","1980","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-2.56027"
"12860...ZF...","DENMARK","1980","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","11"
"12860L..ZF...","DENMARK","1980","DEPOSIT RATE","PERCENT PER ANNU","10.8"
"12860B..ZF...","DENMARK","1980","CALL MONEY RATE","PERCENT PER ANNU","16.9275"
"12860C..ZF...","DENMARK","1980","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","18.17"
"12860P..ZF...","DENMARK","1979","LENDING RATE","PERCENT PER ANNU","15.3"
"12860F..ZF...","DENMARK","1979","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-3.01957"
"12860...ZF...","DENMARK","1979","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","11"
"12860L..ZF...","DENMARK","1979","DEPOSIT RATE","PERCENT PER ANNU","10.8"
"12860B..ZF...","DENMARK","1979","CALL MONEY RATE","PERCENT PER ANNU","12.6333"
"12860C..ZF...","DENMARK","1979","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","17.82"
"12860P..ZF...","DENMARK","1978","LENDING RATE","PERCENT PER ANNU","13.9"
"12860F..ZF...","DENMARK","1978","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-2.35756"
"12860...ZF...","DENMARK","1978","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","8"
"12860B..ZF...","DENMARK","1978","CALL MONEY RATE","PERCENT PER ANNU","15.42"
"12860C..ZF...","DENMARK","1978","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","17.1"
"12860F..ZF...","DENMARK","1977","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-15.4046"
"12860...ZF...","DENMARK","1977","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","9"
"12860B..ZF...","DENMARK","1977","CALL MONEY RATE","PERCENT PER ANNU","14.4817"
"12860C..ZF...","DENMARK","1977","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","17.12"
"12860F..ZF...","DENMARK","1976","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-8.98488"
"12860...ZF...","DENMARK","1976","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","10"
"12860B..ZF...","DENMARK","1976","CALL MONEY RATE","PERCENT PER ANNU","10.28"
"12860C..ZF...","DENMARK","1976","2 YEAR DEBT CERTIFICATES","PERCENT PER ANNU","14.14"
"12860F..ZF...","DENMARK","1975","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","0.615136"
"12860...ZF...","DENMARK","1975","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7.5"
"12860B..ZF...","DENMARK","1975","CALL MONEY RATE","PERCENT PER ANNU","6.47083"
"12860F..ZF...","DENMARK","1974","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-5.66372"
"12860...ZF...","DENMARK","1974","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","10"
"12860B..ZF...","DENMARK","1974","CALL MONEY RATE","PERCENT PER ANNU","13.3367"
"12860F..ZF...","DENMARK","1973","DISCOUNTS(-)OR PREMIUMS F.R.","PERCENT PER ANNU","-4.45151"
"12860...ZF...","DENMARK","1973","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","9"
"12860B..ZF...","DENMARK","1973","CALL MONEY RATE","PERCENT PER ANNU","8.10417"
"12860...ZF...","DENMARK","1972","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7"
"12860B..ZF...","DENMARK","1972","CALL MONEY RATE","PERCENT PER ANNU","6.25667"
"12860...ZF...","DENMARK","1971","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7.5"
"12860...ZF...","DENMARK","1970","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","9"
"12860...ZF...","DENMARK","1969","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","9"
"12860...ZF...","DENMARK","1968","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6"
"12860...ZF...","DENMARK","1967","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7.5"
"12860...ZF...","DENMARK","1966","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"12860...ZF...","DENMARK","1965","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"12860...ZF...","DENMARK","1964","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"12860...ZF...","DENMARK","1963","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","5.5"
"12860...ZF...","DENMARK","1962","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"12860...ZF...","DENMARK","1961","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"12860...ZF...","DENMARK","1960","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","5.5"
"12860...ZF...","DENMARK","1959","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","5"
"12860...ZF...","DENMARK","1958","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","4.5"
"12860...ZF...","DENMARK","1957","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","5.5"
"12860...ZF...","DENMARK","1956","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","5.5"
"12860...ZF...","DENMARK","1955","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","5.5"
"12860...ZF...","DENMARK","1954","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","5"
"12860...ZF...","DENMARK","1953","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","4"
"12860...ZF...","DENMARK","1952","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","4.5"
"12860...ZF...","DENMARK","1951","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","4.5"
"12860...ZF...","DENMARK","1950","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","4.5"
"12860...ZF...","DENMARK","1949","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","3"
"12860...ZF...","DENMARK","1948","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","3"
"61160L..ZF...","DJIBOUTI","2008","RATE O TIME DEPOSITS 1 MONTHS","PERCENT PER ANNU","2.16417"
"61160P..ZF...","DJIBOUTI","2008","LENDING RATE","PERCENT PER ANNU","11.5558"
"61160L..ZF...","DJIBOUTI","2007","RATE O TIME DEPOSITS 1 MONTHS","PERCENT PER ANNU","3.1625"
"61160P..ZF...","DJIBOUTI","2007","LENDING RATE","PERCENT PER ANNU","11.24"
"61160L..ZF...","DJIBOUTI","2005","RATE O TIME DEPOSITS 1 MONTHS","PERCENT PER ANNU","0.846667"
"61160P..ZF...","DJIBOUTI","2005","LENDING RATE","PERCENT PER ANNU","11.15"
"61160L..ZF...","DJIBOUTI","2004","RATE O TIME DEPOSITS 1 MONTHS","PERCENT PER ANNU","0.8"
"61160P..ZF...","DJIBOUTI","2004","LENDING RATE","PERCENT PER ANNU","11.2458"
"61160L..ZF...","DJIBOUTI","2003","RATE O TIME DEPOSITS 1 MONTHS","PERCENT PER ANNU","0.816667"
"61160P..ZF...","DJIBOUTI","2003","LENDING RATE","PERCENT PER ANNU","11.3"
"61160L..ZF...","DJIBOUTI","2002","RATE O TIME DEPOSITS 1 MONTHS","PERCENT PER ANNU","1.23333"
"61160P..ZF...","DJIBOUTI","2002","LENDING RATE","PERCENT PER ANNU","11.3"
"61160L..ZF...","DJIBOUTI","2001","RATE O TIME DEPOSITS 1 MONTHS","PERCENT PER ANNU","2.80833"
"61160P..ZF...","DJIBOUTI","2001","LENDING RATE","PERCENT PER ANNU","11.4583"
"61160P..ZF...","DJIBOUTI","1990","LENDING RATE","PERCENT PER ANNU","10.5"
"61160P..ZF...","DJIBOUTI","1989","LENDING RATE","PERCENT PER ANNU","10.5"
"61160P..ZF...","DJIBOUTI","1988","LENDING RATE","PERCENT PER ANNU","10.5"
"61160P..ZF...","DJIBOUTI","1987","LENDING RATE","PERCENT PER ANNU","8.5"
"61160P..ZF...","DJIBOUTI","1986","LENDING RATE","PERCENT PER ANNU","8.5"
"61160P..ZF...","DJIBOUTI","1985","LENDING RATE","PERCENT PER ANNU","8.5"
"61160P..ZF...","DJIBOUTI","1984","LENDING RATE","PERCENT PER ANNU","8.5"
"32160C..ZF...","DOMINICA","2009","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K.FZF...","DOMINICA","2009","SAVINGS RATE (FGN. CURRENCY)","PERCENT PER ANNU","1.08896"
"32160K..ZF...","DOMINICA","2009","SAVINGS RATE","PERCENT PER ANNU","3.46074"
"32160B..ZF...","DOMINICA","2009","MONEY MARKET RATE","PERCENT PER ANNU","6.03255"
"32160P.FZF...","DOMINICA","2009","LENDING RATE (FGN. CURRENCY)","PERCENT PER ANNU","10.4174"
"32160P..ZF...","DOMINICA","2009","LENDING RATE","PERCENT PER ANNU","10.0193"
"32160...ZF...","DOMINICA","2009","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"32160L.FZF...","DOMINICA","2009","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","1.40055"
"32160L..ZF...","DOMINICA","2009","DEPOSIT RATE","PERCENT PER ANNU","3.20323"
"32160C..ZF...","DOMINICA","2008","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K.FZF...","DOMINICA","2008","SAVINGS RATE (FGN. CURRENCY)","PERCENT PER ANNU","2.74194"
"32160K..ZF...","DOMINICA","2008","SAVINGS RATE","PERCENT PER ANNU","3.50446"
"32160B..ZF...","DOMINICA","2008","MONEY MARKET RATE","PERCENT PER ANNU","4.92167"
"32160P.FZF...","DOMINICA","2008","LENDING RATE (FGN. CURRENCY)","PERCENT PER ANNU","9.82639"
"32160P..ZF...","DOMINICA","2008","LENDING RATE","PERCENT PER ANNU","9.06405"
"32160...ZF...","DOMINICA","2008","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"32160L.FZF...","DOMINICA","2008","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","2.5903"
"32160L..ZF...","DOMINICA","2008","DEPOSIT RATE","PERCENT PER ANNU","3.20208"
"32160C..ZF...","DOMINICA","2007","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K.FZF...","DOMINICA","2007","SAVINGS RATE (FGN. CURRENCY)","PERCENT PER ANNU","2.41993"
"32160K..ZF...","DOMINICA","2007","SAVINGS RATE","PERCENT PER ANNU","3.44102"
"32160B..ZF...","DOMINICA","2007","MONEY MARKET RATE","PERCENT PER ANNU","5.23921"
"32160P.FZF...","DOMINICA","2007","LENDING RATE (FGN. CURRENCY)","PERCENT PER ANNU","9.94657"
"32160P..ZF...","DOMINICA","2007","LENDING RATE","PERCENT PER ANNU","9.16801"
"32160...ZF...","DOMINICA","2007","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"32160L.FZF...","DOMINICA","2007","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","2.48203"
"32160L..ZF...","DOMINICA","2007","DEPOSIT RATE","PERCENT PER ANNU","3.2581"
"32160C..ZF...","DOMINICA","2006","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K.FZF...","DOMINICA","2006","SAVINGS RATE (FGN. CURRENCY)","PERCENT PER ANNU","1.75725"
"32160K..ZF...","DOMINICA","2006","SAVINGS RATE","PERCENT PER ANNU","3.46019"
"32160B..ZF...","DOMINICA","2006","MONEY MARKET RATE","PERCENT PER ANNU","4.75905"
"32160P.FZF...","DOMINICA","2006","LENDING RATE (FGN. CURRENCY)","PERCENT PER ANNU","9.2986"
"32160P..ZF...","DOMINICA","2006","LENDING RATE","PERCENT PER ANNU","9.5024"
"32160...ZF...","DOMINICA","2006","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"32160L.FZF...","DOMINICA","2006","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","2.43247"
"32160L..ZF...","DOMINICA","2006","DEPOSIT RATE","PERCENT PER ANNU","3.33302"
"32160C..ZF...","DOMINICA","2005","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K.FZF...","DOMINICA","2005","SAVINGS RATE (FGN. CURRENCY)","PERCENT PER ANNU","1.76681"
"32160K..ZF...","DOMINICA","2005","SAVINGS RATE","PERCENT PER ANNU","3.31301"
"32160B..ZF...","DOMINICA","2005","MONEY MARKET RATE","PERCENT PER ANNU","4.01398"
"32160P.FZF...","DOMINICA","2005","LENDING RATE (FGN. CURRENCY)","PERCENT PER ANNU","3.06211"
"32160P..ZF...","DOMINICA","2005","LENDING RATE","PERCENT PER ANNU","9.91818"
"32160...ZF...","DOMINICA","2005","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"32160L.FZF...","DOMINICA","2005","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","0.573814"
"32160L..ZF...","DOMINICA","2005","DEPOSIT RATE","PERCENT PER ANNU","3.14695"
"32160C..ZF...","DOMINICA","2004","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K.FZF...","DOMINICA","2004","SAVINGS RATE (FGN. CURRENCY)","PERCENT PER ANNU","1.58913"
"32160K..ZF...","DOMINICA","2004","SAVINGS RATE","PERCENT PER ANNU","3.4087"
"32160B..ZF...","DOMINICA","2004","MONEY MARKET RATE","PERCENT PER ANNU","4.6706"
"32160P.FZF...","DOMINICA","2004","LENDING RATE (FGN. CURRENCY)","PERCENT PER ANNU","3.82927"
"32160P..ZF...","DOMINICA","2004","LENDING RATE","PERCENT PER ANNU","8.94144"
"32160...ZF...","DOMINICA","2004","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"32160L.FZF...","DOMINICA","2004","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","0.153466"
"32160L..ZF...","DOMINICA","2004","DEPOSIT RATE","PERCENT PER ANNU","3.25842"
"32160C..ZF...","DOMINICA","2003","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K.FZF...","DOMINICA","2003","SAVINGS RATE (FGN. CURRENCY)","PERCENT PER ANNU","3.125"
"32160K..ZF...","DOMINICA","2003","SAVINGS RATE","PERCENT PER ANNU","3.37673"
"32160B..ZF...","DOMINICA","2003","MONEY MARKET RATE","PERCENT PER ANNU","6.06964"
"32160P.FZF...","DOMINICA","2003","LENDING RATE (FGN. CURRENCY)","PERCENT PER ANNU","5.97878"
"32160P..ZF...","DOMINICA","2003","LENDING RATE","PERCENT PER ANNU","11.5007"
"32160...ZF...","DOMINICA","2003","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","6.5"
"32160L.FZF...","DOMINICA","2003","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","1.03651"
"32160L..ZF...","DOMINICA","2003","DEPOSIT RATE","PERCENT PER ANNU","3.65864"
"32160C..ZF...","DOMINICA","2002","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K..ZF...","DOMINICA","2002","SAVINGS RATE","PERCENT PER ANNU","5"
"32160B..ZF...","DOMINICA","2002","MONEY MARKET RATE","PERCENT PER ANNU","6.31773"
"32160P..ZF...","DOMINICA","2002","LENDING RATE","PERCENT PER ANNU","10.9729"
"32160...ZF...","DOMINICA","2002","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7"
"32160L..ZF...","DOMINICA","2002","DEPOSIT RATE","PERCENT PER ANNU","3.91396"
"32160C..ZF...","DOMINICA","2001","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K..ZF...","DOMINICA","2001","SAVINGS RATE","PERCENT PER ANNU","5.5"
"32160B..ZF...","DOMINICA","2001","MONEY MARKET RATE","PERCENT PER ANNU","5.64049"
"32160P..ZF...","DOMINICA","2001","LENDING RATE","PERCENT PER ANNU","11.1397"
"32160...ZF...","DOMINICA","2001","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","7"
"32160L..ZF...","DOMINICA","2001","DEPOSIT RATE","PERCENT PER ANNU","3.97651"
"32160C..ZF...","DOMINICA","2000","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K..ZF...","DOMINICA","2000","SAVINGS RATE","PERCENT PER ANNU","5.5"
"32160B..ZF...","DOMINICA","2000","MONEY MARKET RATE","PERCENT PER ANNU","5.25"
"32160P..ZF...","DOMINICA","2000","LENDING RATE","PERCENT PER ANNU","11.6808"
"32160...ZF...","DOMINICA","2000","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","8"
"32160L..ZF...","DOMINICA","2000","DEPOSIT RATE","PERCENT PER ANNU","3.87453"
"32160C..ZF...","DOMINICA","1999","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K..ZF...","DOMINICA","1999","SAVINGS RATE","PERCENT PER ANNU","5.5"
"32160B..ZF...","DOMINICA","1999","MONEY MARKET RATE","PERCENT PER ANNU","5.25"
"32160P..ZF...","DOMINICA","1999","LENDING RATE","PERCENT PER ANNU","11.3957"
"32160...ZF...","DOMINICA","1999","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","8"
"32160L..ZF...","DOMINICA","1999","DEPOSIT RATE","PERCENT PER ANNU","4.37928"
"32160C..ZF...","DOMINICA","1998","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K..ZF...","DOMINICA","1998","SAVINGS RATE","PERCENT PER ANNU","5.5"
"32160B..ZF...","DOMINICA","1998","MONEY MARKET RATE","PERCENT PER ANNU","5.25"
"32160P..ZF...","DOMINICA","1998","LENDING RATE","PERCENT PER ANNU","11.2726"
"32160...ZF...","DOMINICA","1998","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","8"
"32160L..ZF...","DOMINICA","1998","DEPOSIT RATE","PERCENT PER ANNU","4.22703"
"32160C..ZF...","DOMINICA","1997","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K..ZF...","DOMINICA","1997","SAVINGS RATE","PERCENT PER ANNU","5.5"
"32160B..ZF...","DOMINICA","1997","MONEY MARKET RATE","PERCENT PER ANNU","5.25"
"32160P..ZF...","DOMINICA","1997","LENDING RATE","PERCENT PER ANNU","11.1731"
"32160...ZF...","DOMINICA","1997","DISCOUNT RATE (END OF PERIOD)","PERCENT PER ANNU","8"
"32160L..ZF...","DOMINICA","1997","DEPOSIT RATE","PERCENT PER ANNU","4.26854"
"32160C..ZF...","DOMINICA","1996","TREASURY BILL RATE","PERCENT PER ANNU","6.4"
"32160K..ZF...","DOMINICA","1996","SAVINGS RATE","PERCENT PER ANNU","5.5"
"32160B..ZF...","DOMINICA","1996","MONEY MARKET RATE","PERCENT PER ANNU","5.25"
